"","Target","Dataset","Sample_ID","Hive","Date","Bee_type","Scab","gut_mg","Extractor","Cq","SD","actin_Cq","actin_CopyNum","CopyNum","CellNum","Present","CopyNum_norm","CellNum_norm"
"49","Ba","mm","105","DdM","150817","F","1","NA","PLO",20.7434,"1.7784543851333101E-2",21.1958666666667,7126710.84780098,20008927.8047295,10004463.9023648,1,27136009,13568005
"50","Ba","mm","194","DdM","151112","F","0","NA","L",23.0135333333333,"4.6328105220624798E-2",20.9121333333333,8545178.41633871,3917600.73748817,1958800.36874408,1,4431088,2215544
"51","Ba","mm","301","DdM","160419","F","1","NA","P",26.3486333333333,"0.17972101528016399",22.7196,2688670.66777431,356930.367281813,178465.183640906,1,1283090,641545
"52","Ba","mm","239","DdM","160113","W","1","NA","M",15.6258666666667,"8.0881167977059507E-2",20.3667666666667,12112809.8722528,790166262.897546,395083131.448773,1,630499698,315249849
"53","Ba","mm","150","DdM","151014","F","1","NA","L",25.0231666666667,"0.124361663439071",20.7223666666667,9648184.26457374,924876.155320593,462438.077660297,1,926508,463254
"54","Ba","mm","255","DdM","160217","W","0","NA","M",14.1929,"0.178332330215247",20.9588476816813,8293581.14516979,2211845946.9227,1105922973.46135,1,2577650774,1288825387
"55","Ba","mm","557","DdM","170316","F","0","NA","M",26.36735,"0.17557461376861799",20.9648,8262059.45680019,352163.662258504,176081.831129252,1,411972,205986
"56","Ba","mm","289","DdM","160314","W","1","NA","M",14.81065,"2.6162950903904098E-3",20.7530666666667,9460540.56810992,1419181982.24255,709590991.121276,1,1449884600,724942300
"57","Ba","mm","106","DdM","150817","F","0","NA","PLO",18.9257666666667,"4.0154742351725503E-2",21.0579333333333,7784169.8908095,73835122.6035589,36917561.3017794,1,91677338,45838669
"58","Ba","mm","512","DdM","170117","W","1","NA","M",15.6939,"1.06066017177974E-2",19.9649,15663862.6080609,752479060.647772,376239530.323886,1,464308736,232154368
"59","Ba","mm","467","DdM","161116","W","1","NA","M",16.8691333333333,"0.186156770850091",22.0670333333333,4081742.88207605,323490831.569622,161745415.784811,1,765997995,382998997
"60","Ba","mm","240","DdM","160113","W","1","NA","M",19.7349,"4.3794177695212898E-2",21.4208666666667,6171283.72515294,41289648.4977648,20644824.2488824,1,64666145,32333073
"61","Ba","mm","151","DdM","151014","F","1","NA","L",17.8322333333333,"8.53242247742899E-2",20.5409,10835874.9720051,161960030.108733,80980015.0543667,1,144462513,72231256
